1,4,63,8,CLASS002,1.348,0,gov,STATUS007,6,DL,1,TY,0,9,30,0.3,23,4,-999,-999
0,2,71,8,CLASS002,0.055,0,center,STATUS007,14,DL,1,other,0,1,5,0.2,1,2,2,0
1,10,53,15,CLASS002,1.384,0,interior,STATUS006,19,DL,1,TY,0,11,18,0.611111111,23,4,2,3
0,1,48,0,CLASS003,7.614,0,train,STATUS006,11,DL,1,GL,1,6,24,0.25,19,1,-999,-999
0,11,65,24,CLASS002,7.271,1,school,STATUS008,6,DL,1,GL,0,9,34,0.264705882,49,28,4,0
1,1,60,0,CLASS002,0.036,0,interior,STATUS008,6,DL,1,ZH,0,2,3,0.666666667,3,1,-999,-999
0,11,37,16,CLASS002,0.805,1,train,STATUS008,11,DL,1,GL,1,26,89,0.292134831,90,3,2,4
0,4,65,12,CLASS002,0.586,0,train,STATUS007,11,DL,1,LH,0,0,1,0,0,1,-999,2
0,21,68,31,CLASS002,0.504,0,gov,STATUS008,6,DL,1,TY,0,1,4,0.25,2,3,2,7
1,1,68,0,CLASS002,0.271,0,center,STATUS008,6,DL,1,LH,0,1,4,0.25,1,2,-999,-999
0,3,61,18,CLASS002,0.488,0,interior,STATUS007,6,DL,1,GL,0,1,2,0.5,1,1,0,1
0,4,60,18,CLASS006,3.378,0,school,STATUS004,21,IDL,0,GL,0,5,8,0.625,45,1,4,1
0,25,-999,20,CLASS002,0.638,0,recommend,STATUS007,17,DL,1,LH,-999,-999,-999,-999,-999,2,4,1
0,4,34,17,CLASS003,4.332,0,school,STATUS008,5,DL,1,TY,0,41,110,0.372727273,218,4,0,1
0,1,65,2,CLASS002,1.082,0,train,STATUS008,11,DL,1,GL,0,0,1,0,0,1,-999,-999
0,7,-999,17,CLASS002,0.107,0,gov,STATUS007,6,DL,1,TY,-999,-999,-999,-999,-999,2,2,0
0,4,-999,16,CLASS002,2.721,1,center,STATUS006,4,DL,1,ZH,-999,-999,-999,-999,-999,2,0,0
0,1,-999,0,CLASS002,0.063,0,other,STATUS008,4,DL,1,other,-999,-999,-999,-999,-999,1,-999,-999
0,42,46,32,CLASS002,0.115,0,other,STATUS008,6,DL,1,LH,1,4,8,0.5,8,6,4,12
1,67,60,44,CLASS002,0.074,1,other,STATUS008,6,DL,1,LH,0,12,42,0.285714286,53,45,-999,4
1,5,57,28,CLASS002,0.088,0,other,STATUS008,1,DL,1,other,0,1,1,1,8,1,2,2
1,37,61,20,CLASS002,2.463,0,recruit,STATUS007,9,DL,1,other,0,9,24,0.375,482,4,0,4
0,8,65,29,CLASS002,1.153,0,other,STATUS008,6,DL,1,other,0,0,1,0,0,2,0,1
1,5,65,6,CLASS002,0.005,0,interior,STATUS006,6,DL,1,ZH,0,0,1,0,0,2,-999,-999
1,1,65,0,CLASS002,0.09,0,other,STATUS008,1,DL,1,other,0,0,1,0,0,1,-999,-999
1,1,63,15,CLASS002,0.027,0,other,STATUS007,6,DL,1,LH,0,2,4,0.5,3,1,2,0
0,1,65,0,CLASS002,4.008,0,transfer,STATUS007,6,IDL,0,LH,0,0,1,0,0,1,-999,-999
1,1,-999,0,CLASS002,0.058,0,network,STATUS008,6,DL,1,TY,-999,-999,-999,-999,-999,2,-999,-999
0,5,-999,20,CLASS002,0.058,0,network,STATUS008,6,DL,1,TY,-999,-999,-999,-999,-999,1,2,0
1,38,5,20,CLASS002,0.485,1,leave,STATUS008,6,DL,1,TY,0,187,267,0.700374532,1908,46,-999,-999
0,15,80,26,CLASS002,0.027,0,gov,STATUS006,6,DL,1,TY,0,3,19,0.157894737,117,4,10,0
1,2,7,41,CLASS002,0.137,0,other,STATUS008,4,DL,1,other,1,90,158,0.569620253,203,1,-999,1
0,2,56,9,CLASS002,0.488,0,other,STATUS008,4,DL,1,other,0,16,59,0.271186441,30,2,-999,1
1,1,61,15,CLASS002,0.6,0,self,STATUS006,6,DL,1,GL,0,3,5,0.6,42,1,-999,-999
1,1,-999,0,CLASS002,0.036,0,interior,STATUS008,6,DL,1,GL,-999,-999,-999,-999,-999,1,-999,-999
1,80,26,61,CLASS002,1.992,0,self,STATUS006,6,DL,1,LH,1,43,114,0.377192982,571,30,14,0
0,4,61,18,CLASS002,0.096,0,center,STATUS007,6,DL,1,LH,0,1,2,0.5,4,3,6,0
0,3,61,8,CLASS002,0.027,0,self,STATUS006,6,DL,1,GL,0,1,2,0.5,1,1,2,0
1,19,41,35,CLASS002,0.795,1,other,STATUS008,10,DL,1,other,0,29,74,0.391891892,117,7,4,2
1,5,68,27,CLASS002,0.192,1,dispatch,STATUS008,6,DL,1,TY,0,1,4,0.25,1,1,-999,1
0,1,75,6,CLASS002,0.085,0,center,STATUS006,6,DL,1,other,0,0,3,0,0,1,-999,-999
0,75,59,41,CLASS002,0.427,1,train,STATUS008,4,DL,1,GL,0,12,41,0.292682927,26,28,4,1
0,13,62,34,CLASS002,0.03,1,other,STATUS008,1,DL,1,other,0,14,82,0.170731707,37,7,8,3
0,5,54,19,CLASS002,0.044,0,other,STATUS008,6,DL,1,other,0,18,66,0.272727273,31,2,2,2
1,108,75,42,CLASS006,3.219,1,school,STATUS004,21,DL,1,other,0,0,3,0,0,8,6,18
0,12,36,14,CLASS006,8.764,0,transfer,STATUS004,21,DL,1,ZH,2,7,12,0.583333333,16,2,4,0
1,3,65,9,CLASS002,0.378,0,society,STATUS008,17,DL,1,TY,0,0,1,0,0,2,2,1
1,2,60,17,CLASS002,0.041,0,gov,STATUS008,6,DL,1,TY,0,2,3,0.666666667,7,1,0,0
0,2,65,6,CLASS002,0.036,0,interior,STATUS006,6,DL,1,GL,0,0,1,0,0,2,-999,-999
0,34,19,33,CLASS002,0.06,0,other,STATUS008,6,DL,1,LH,0,74,173,0.427745665,199,12,2,5
0,4,75,13,CLASS002,3.09,0,other,STATUS006,18,DL,1,other,0,0,3,0,0,2,0,1
0,1,-999,0,CLASS002,5.564,0,train,STATUS008,5,DL,1,GL,-999,-999,-999,-999,-999,1,-999,-999
0,209,40,60,CLASS002,0.195,1,recruit,STATUS007,13,DL,1,LH,0,30,78,0.384615385,766,17,12,6
0,14,34,19,CLASS005,8.038,0,school,STATUS007,21,DL,1,TY,0,42,125,0.336,71,6,4,5
0,3,36,12,CLASS002,0.011,0,interior,STATUS007,6,DL,1,ZH,1,20,53,0.377358491,712,1,4,0
0,2,48,6,CLASS002,5.732,0,self,STATUS008,18,DL,1,GL,1,4,5,0.8,22,2,-999,-999
0,22,73,34,CLASS002,0.734,1,interior,STATUS007,6,DL,1,GL,0,2,9,0.222222222,20,9,8,10
1,67,34,39,CLASS002,0.082,1,center,STATUS006,6,DL,1,other,1,26,79,0.329113924,48,26,8,5
0,5,57,35,CLASS003,6.162,0,network,STATUS006,17,DL,1,other,0,3,3,1,14,1,2,2
1,9,-999,23,CLASS002,0.353,0,other,STATUS008,6,DL,1,other,-999,-999,-999,-999,-999,1,6,0
1,7,71,9,CLASS002,0.068,0,center,STATUS008,8,DL,1,LH,0,3,11,0.272727273,7,3,2,1
0,9,60,15,CLASS002,1.181,0,gov,STATUS006,6,DL,1,TY,0,5,8,0.625,21,1,0,1
0,5,-999,13,CLASS002,0.775,0,train,STATUS008,11,DL,1,LH,-999,-999,-999,-999,-999,1,0,1
0,3,65,13,CLASS004,10.512,0,other,STATUS006,12,DL,1,LH,0,0,1,0,0,1,2,1
0,1,-999,2,CLASS002,0.975,0,train,STATUS008,4,DL,1,LH,-999,-999,-999,-999,-999,1,-999,-999
0,19,-999,23,CLASS002,0.115,1,other,STATUS006,6,DL,1,GL,-999,-999,-999,-999,-999,2,2,1
0,1,-999,6,CLASS002,0.449,0,dispatch,STATUS008,6,DL,1,ZH,-999,-999,-999,-999,-999,1,-999,-999
1,8,79,10,CLASS002,1.005,0,society,STATUS008,2,DL,1,TY,0,0,4,0,0,1,-999,-999
1,2,-999,10,CLASS002,0.082,0,dispatch,STATUS008,6,DL,1,GL,-999,-999,-999,-999,-999,1,-999,-999
1,34,44,58,CLASS002,0.115,0,train,STATUS007,6,DL,1,LH,0,23,54,0.425925926,912,3,6,4
0,1,75,0,CLASS002,0.036,0,dispatch,STATUS008,6,DL,1,GL,0,0,3,0,0,1,-999,-999
1,153,5,70,CLASS004,8.005,1,transfer,STATUS007,4,DL,1,LH,2,90,149,0.604026846,416,29,12,18
0,1,-999,0,CLASS002,4.951,0,center,STATUS008,17,DL,1,ZH,-999,-999,-999,-999,-999,1,-999,-999
1,5,59,14,CLASS002,0.071,1,center,STATUS007,6,DL,1,other,0,3,4,0.75,5,1,4,0
0,21,51,20,CLASS002,5.896,0,other,STATUS007,12,DL,1,LH,1,1,3,0.333333333,0,1,4,0
1,17,38,37,CLASS002,1.019,0,talent,STATUS008,18,DL,1,other,1,21,69,0.304347826,365,5,10,2
0,1,-999,0,CLASS002,0.107,0,train,STATUS007,4,DL,1,LH,-999,-999,-999,-999,-999,1,-999,-999
0,1,70,8,CLASS002,0.855,0,recommend,STATUS008,10,IDL,0,GL,0,5,18,0.277777778,25,3,-999,-999
0,5,-999,21,CLASS002,0.044,0,dispatch,STATUS008,6,DL,1,TY,-999,-999,-999,-999,-999,4,0,0
1,13,57,23,CLASS002,0.09,0,train,STATUS007,4,DL,1,LH,0,1,1,1,3,3,6,1
1,8,24,34,CLASS002,0.003,1,other,STATUS005,1,DL,1,other,0,65,188,0.345744681,1265,16,0,2
0,4,75,12,CLASS002,1.523,0,transfer,STATUS006,6,DL,1,GL,0,1,7,0.142857143,2,1,-999,1
